CELL_LINE_NAME,afatinib,as601245,as605240,at7519,az628,azd6482,azd7762,azd8055,bi2536,bms345541,bx912,cgp60474,cp466722,cp724714,crizotinib,cyclopamine,dasatinib,doxorubicin,entinostat,enzastaurin,erlotinib,gefitinib,gnf2,gsk1070916,gsk1904529a,gsk429286a,gw441756,gw843682x,hg511301,hg58801,imatinib,jnk9l,jw7241,kin001244,ku55933,lapatinib,lenalidomide,lfma13,linifanib,linsitinib,masitinib,mg132,mk2206,motesanib,nilotinib,npk76ii721,nu7441,nvptae684,olaparib,osi027,palbociclib,parthenolide,pazopanib,pd0325901,pd173074,pf562271,pha665752,pha793887,pi103,piperlongumine,plx4720,qlx138,qlxi92,qlxii47,qs11,quizartinib,ruxolitinib,saracatinib,sb216763,sb590885,selumetinib,serdemetan,sorafenib,tak715,tamoxifen,tanespimycin,temozolomide,tgx221,tivozanib,tozasertib,tpca1,tretinoin,veliparib,vinblastine,vorinostat,wh4023,wz3105,xav939,xmd1185h,xmd132,xmd1499,xmd1527,xmd885,xmd892,zg10,zm447439,zstk474
HCC1954,,1.822975,1.2018950000000002,1.288897,,,1.060711,1.386152,,1.607889,5.290104,,1.8551970000000002,2.3227830000000003,,,,1.005052,,0.6704479999999999,,1.270773,,2.854949,2.943794,6.093044,2.7379330000000004,,2.711235,4.31838,,0.650459,0.549454,5.955812,5.365692,,4.23821,5.8631459999999995,2.0457259999999997,3.9650019999999997,2.688284,,2.091374,3.2911059999999996,3.3072,5.394997,3.404639,,,0.068918,2.776923,,3.317851,1.0251709999999998,2.875196,3.421703,,1.044815,3.618731,1.243475,,0.421811,3.9356980000000004,1.363591,2.6094779999999997,2.222354,4.661059,,5.399897,4.358672,,2.224788,,3.115004,3.137009,0.159094,6.259862,,0.790945,,6.093044,4.5243980000000015,4.625813,3.01189,3.138484,,1.062235,3.984919,5.228682,2.192789,3.79011,4.5265949999999995,,5.216264,2.0612310000000003,2.5521279999999997,0.47893
HCC202,,2.429272,1.393746,0.673505,,4.983002,2.067462,2.3106619999999998,,3.014266,3.3020099999999997,,1.588409,,,,,0.355073,,4.213899,,1.866848,,2.352346,2.2000759999999997,3.5763800000000003,1.515518,,3.049611,5.668435,,,,3.4814800000000004,5.773358999999999,,5.244498,3.12815,,2.345541,,,1.7012200000000002,3.197893,4.265262,3.263995,2.815092,,,,5.007833,,1.9572029999999998,2.606809,3.540108,,,,,2.005227,,,,1.1936440000000001,4.908135,,5.100949,,5.939015,3.26987,,4.49348,,3.7557110000000002,4.995566999999999,0.817583,6.636482000000001,,,,5.718354,5.939015,4.89086,0.637311,1.51552,,,3.31966,5.669517,,,,,5.127973,2.370765,4.997089,0.553805
HCC2157,,2.124125,4.834704,0.594589,2.535459,,1.0529190000000002,1.4052209999999998,0.17288299999999998,3.375053,4.709371,2.055515,4.409333,4.779165,3.541408,4.796941,2.615923,2.766218,0.40021999999999996,4.787336,1.4308020000000001,0.596018,2.9374119999999997,2.8437930000000002,0.61074,5.082172,0.726927,0.17862999999999998,1.471716,3.461586,3.541408,0.531311,0.435158,4.288327,2.295195,1.5456889999999999,3.937914,3.401906,2.871978,1.7048279999999998,5.8048589999999995,1.287315,1.123156,3.5310410000000005,1.0205540000000002,5.17444,0.741889,0.784358,,1.046653,4.125586,3.729574,4.582029,1.247126,2.195865,1.3261020000000001,3.541408,0.831833,2.147951,1.327444,,1.518067,2.886574,3.076692,2.140398,1.538349,3.905829,3.209252,5.1498800000000005,4.454509,,2.785604,2.0290340000000002,4.7099269999999995,4.27877,2.31054,4.950664,3.125169,1.538262,2.549715,5.843994,2.331057,4.457699,3.434361,0.34989699999999996,4.237548,3.594532,4.311425,2.326993,2.97047,5.174425,5.174563,2.588236,1.6480130000000002,0.295084,1.0156209999999999,1.4610020000000001
HCC2218,,3.6618169999999997,2.474064,0.751883,4.712368,,3.7332089999999996,0.643306,0.5654359999999999,1.55732,5.6768089999999995,1.6482150000000002,2.7061610000000003,1.837878,3.4680489999999997,4.508381,3.419289,1.8042939999999998,0.095964,0.772927,3.390603,1.928859,2.561601,4.397812999999998,3.232456,5.421366,4.063422,1.0660450000000001,2.136482,4.49143,2.679203,0.38045999999999996,1.302219,2.617795,5.0216389999999995,2.7163,4.535491,5.593872,3.000441,4.310282,2.523128,1.8470240000000002,1.693913,4.062032,4.010341,5.4634279999999995,3.573379,3.23381,,0.676417,4.6647120000000015,4.969329,2.52694,2.698707,3.451224,3.3921769999999998,4.0624400000000005,0.637617,0.31856999999999996,1.894162,,0.022345,3.023823,2.047804,2.942884,2.422937,4.93345,2.46156,4.5928330000000015,4.4471169999999995,,4.538235,0.785559,2.78307,3.699968,1.556864,6.605200999999999,5.080259,0.793303,3.3706709999999998,5.223142,4.6266120000000015,4.830979,1.2988629999999999,0.771021,4.353155999999999,2.309243,4.75405,5.424288,2.640733,5.597812,4.648832,4.901039,5.418339,1.335495,4.621976,0.257801
HCC33,,3.873272,3.7599370000000003,0.025315,3.7032540000000003,2.972445,,,2.1120360000000002,2.9057939999999998,2.043814,1.4998690000000001,2.5167509999999997,3.879132,3.1911959999999997,4.392358,2.650962,0.779981,1.2355909999999999,3.729088,3.392408,,2.711627,0.408571,2.59459,3.7691199999999996,,2.004975,,,3.245782,0.160195,1.4276799999999998,4.319334,,3.225384,,5.104499,2.339065,0.8174600000000001,2.896255,0.336913,,,,1.378224,,2.606329,,1.397195,,3.707527,4.60302,,,2.6757720000000003,3.3381260000000004,1.059057,0.711666,,,0.329045,2.068843,0.2425070000000001,3.054076,2.718881,3.914167,3.197582,,,,,3.037275,5.311458,,,,4.915825,0.416041,1.260848,3.453421,,,,,4.159927,1.6208870000000002,,,2.562364,4.580375,5.025562,4.3259120000000015,,,,2.011327
HCC38,,1.2422819999999999,3.840299,1.473223,,,0.218721,1.352164,,3.636968,3.377272,,2.538795,4.64445,,,,3.109652,,3.3112519999999996,,1.582976,,2.437986,2.3188590000000002,4.570025,3.439655,,2.274022,5.06245,,0.5628479999999999,1.5246469999999999,3.344439,3.8694129999999998,,4.499679,5.677053,2.8862490000000003,2.992096,5.094536,,4.278179,3.606849,3.59997,1.1447559999999999,3.070682,,,0.17816400000000002,3.2860110000000002,,4.3288269999999995,1.7514150000000002,2.678067,3.2638849999999997,,2.216401,0.023618,2.308456,,0.359075,4.783004,2.172948,5.14118,2.361861,4.428013,,5.213529,4.521401,,2.4404470000000003,,4.239585,4.32963,1.176409,6.187564,,0.254058,,3.348446,5.173515,4.485233999999998,4.035598,2.5856220000000003,,0.928211,3.057577,4.201141000000002,2.622558,5.233091,3.7551099999999997,,3.277224,1.942257,3.1753430000000002,1.509083
HCC44,,1.8053869999999999,2.639179,1.1537469999999999,,,0.388092,2.324682,,1.177247,2.4014029999999997,,1.8722349999999999,4.394913,,,,3.160877,,0.18418900000000002,,0.4407140000000001,,1.248622,1.362342,4.1730800000000015,2.617122,,,,,1.262449,1.2566030000000001,2.616146,3.2421759999999997,,3.721568,3.725393,2.3214599999999996,0.46246099999999996,2.860799,,0.709399,1.865071,2.477789,1.812085,0.631632,,,0.691217,2.903898,,2.842723,3.897192,1.5621049999999999,0.92981,,0.269226,0.428113,1.015955,,1.872679,2.889584,0.48329700000000003,1.212667,2.31177,3.146338,,4.4285440000000005,3.33468,,3.010164,,3.861447,3.6299879999999995,4.264016000000002,5.720561,,0.326895,,2.0151220000000003,4.729628,4.0221919999999995,5.884158,1.012157,,1.237551,2.3483169999999998,,2.8156529999999997,4.367438,3.9542019999999996,,,,1.034422,1.45899
HCC56,,1.698679,0.678393,1.385651,,,0.664101,0.43731400000000004,,3.177896,2.94843,,3.226224,2.3952869999999997,,,,1.608895,,1.493396,,0.743074,,0.112275,2.6233560000000002,5.754932,3.086328,,0.910644,2.554122,,0.709801,1.243562,4.0528900000000005,4.053018,,4.35233,5.531789,2.528981,0.5395810000000001,2.624698,,2.5017709999999997,3.4485989999999997,3.450768,2.4585779999999997,3.421568,,,2.751304,3.11143,,4.8251800000000005,3.592742,1.9725529999999998,1.835775,,2.474839,3.4427839999999996,1.5235969999999999,,4.3670800000000005,3.968199,2.395517,2.397379,0.19004000000000001,4.396781,,3.9034440000000004,3.6693540000000002,,4.212782,,4.445705,3.7783919999999998,0.8102060000000001,6.0425910000000025,,0.631296,,3.795126,4.897298999999999,4.359239,2.2918130000000003,1.8464880000000001,,0.270421,4.256266,4.813823,2.63432,4.1786129999999995,4.32735,,3.203509,2.882882,1.985814,1.3626559999999999
HCC70,,1.7180360000000001,2.770181,1.35978,,,0.8921020000000001,,,2.822627,1.9119490000000001,,2.490148,4.860607,,,,0.512504,,3.671294,,0.042401999999999995,,2.400835,2.5638490000000003,5.576268,3.146738,,,,,1.135916,1.629372,2.4892220000000003,,,3.923608,3.305883,2.3176189999999997,3.5508300000000004,3.157644,,,,1.517828,2.5808459999999998,,,,1.871578,,,2.884731,,,0.5094310000000001,,0.95649,0.9334889999999999,1.3322129999999999,4.197951,1.510512,4.575455000000002,2.2328189999999997,4.914121,2.3217779999999997,4.267414,,4.866827,,1.078078,2.6690080000000003,,4.408517,4.118997,,5.186088,,0.38361999999999996,,3.8666099999999997,4.372145,3.088546,3.7249559999999997,1.110296,,2.566359,4.122282,,2.820807,4.684563,4.939334,,,,,0.118129
HCC78,,3.361158,3.649638,0.9356770000000001,,1.254709,0.640528,0.24944899999999998,,2.377441,3.496002,,2.317132,4.505829,,,,1.448448,,1.826316,,2.0852720000000002,,1.062025,3.059599,6.033015,3.71786,,0.928689,0.5843149999999999,,0.409089,1.935509,3.901763,3.6865690000000004,,4.467956,5.415929,2.6532419999999997,3.8570559999999996,3.30626,,1.610373,1.8170669999999998,2.680098,3.6707080000000003,3.075122,,,0.405573,0.676662,,3.7766830000000002,1.091723,2.689855,1.805453,,0.317198,1.9933419999999997,2.760617,,0.731841,4.384373,0.23461300000000002,4.755573,2.581359,4.439707,,4.210097,4.1086290000000005,,,,3.249795,2.529769,1.435333,6.2372190000000005,,0.22731500000000002,,3.082847,4.875042,4.272139,4.421422,0.697519,,0.876732,2.662919,3.534266,3.088248,4.469999,5.3635839999999995,,2.65072,1.311808,2.0611650000000004,0.39025
